id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8153968,Enjoy 100 Days of Chicago Summer in Our Cozy Suite,16500117,Sara,,Lincoln Square,41.965934203605634,-87.68662853750816,Private room,65,1,48,2017-04-29,2.61,1,73
15007764,Comfy and convenient in Lincoln Square,6305758,Erica,,Lincoln Square,41.96951123960287,-87.69562289820033,Private room,70,2,19,2017-05-07,2.57,1,97
16806319,Mid century 3 bed 2 bath near Lincoln Square,28226825,Jina,,Lincoln Square,41.97817853219045,-87.69865657422723,Entire home/apt,169,1,10,2017-05-07,4.62,1,12
1874928,Sunny 2Bd 1Ba HEART of LINCOLN SQ.!,9767449,Rick And Suzanne,,Lincoln Square,41.96710435772914,-87.68397877227946,Entire home/apt,180,2,78,2017-04-23,2.43,1,109
11364317,"Spacious rm w/wifi, cable & parking",59545047,Kris,,Lincoln Square,41.976656405200984,-87.6876751750666,Private room,59,1,1,2016-07-20,0.10,1,97
18327990,Spacious one bedroom in Ravenswood,6903096,Erica,,Lincoln Square,41.96923648969349,-87.67813086426136,Entire home/apt,80,2,0,,,1,129
11970214,Lincoln Square near Brown Line in C,63948825,Kathy,,Lincoln Square,41.97124604032541,-87.6864086399281,Private room,65,1,26,2017-03-19,2.15,1,351
3139109,Charming & Elegant Private BD & BR!,15938798,Ellen,,Lincoln Square,41.96918023592639,-87.69661821697083,Private room,75,1,14,2017-03-29,1.77,1,360
10514631,Large One Bedroom in Lincoln Square,54211417,Watchen,,Lincoln Square,41.961601686714346,-87.69429527727686,Entire home/apt,95,2,35,2017-04-15,2.45,1,137
4334711,Great unit in Ravenswood. Steps away from train!,22507060,Gerardo Andres,,Lincoln Square,41.96682611567139,-87.6789625460767,Entire home/apt,112,3,35,2017-05-01,1.23,1,7
6612044,Private suite in Lincoln Square,11581930,Beatrice,,Lincoln Square,41.971496268666286,-87.69706888263426,Entire home/apt,85,2,71,2017-05-01,3.00,1,290
3867654,City at your fingertips - explore and relax!,19968088,Cassandra,,Lincoln Square,41.969405609151146,-87.69603306360759,Entire home/apt,53,2,12,2017-05-06,4.50,1,243
9413714,Quirky and Comfy in Chicago!,48809791,Amy,,Lincoln Square,41.963967669170984,-87.68607290586614,Entire home/apt,100,2,7,2016-12-28,0.40,1,33
5814832,Winchester Private Studio Apartment,21143101,Mari Pat,,Lincoln Square,41.97142486694145,-87.67634945730694,Entire home/apt,102,2,40,2017-04-30,1.61,1,88
17177641,Clean Convenient room in Ravenswood,1117797,Michael,,Lincoln Square,41.96467376190873,-87.67583439877201,Private room,60,2,6,2017-05-07,3.00,1,86
739495,Lovely 2 bedroom in Lincoln Square ,3867687,Janet,,Lincoln Square,41.97846957254454,-87.68086543097282,Entire home/apt,95,4,116,2017-04-03,2.50,1,29
3006853,Tree-Top Oasis: 3BR + Garage in Lincoln Square,695354,Christine,,Lincoln Square,41.963180705147224,-87.67975911253876,Entire home/apt,175,2,38,2017-05-05,3.09,1,106
12673204,Charming Entire Home in Lincoln Square,34473759,Kerry,,Lincoln Square,41.97349805227084,-87.69647199235654,Entire home/apt,150,2,5,2016-08-17,0.43,2,19
7839251,Private Bedroom & Full Bathroom in Lincoln Square,33607250,Melissa,,Lincoln Square,41.9684323729574,-87.68298267066191,Private room,89,1,40,2017-05-05,2.08,1,64
6316235,Very Spacious Mid-Century Gem,12608762,Tanya,,Lincoln Square,41.97342360828903,-87.69635119824875,Entire home/apt,250,1,43,2017-05-06,1.78,1,289
17151845,Vintage apartment Lincoln Square,17845905,Wade,,Lincoln Square,41.97784079411656,-87.69541294364045,Entire home/apt,86,2,13,2017-05-06,4.48,1,9
18243435,Lincoln square house (Mizell),126052217,Daniel,,Lincoln Square,41.970307403643524,-87.6927285024173,Entire home/apt,280,1,0,,,1,338
14556850,NEW! Modern 2.5BD in Andersonville,27264845,Lisa,,Lincoln Square,41.97696034083593,-87.68026472209922,Entire home/apt,175,1,15,2017-05-01,2.21,1,277
11923551,Spacious 3 Bed/2 Bath Near Downtown,1425670,Yvonne,,Lincoln Square,41.96903752300096,-87.69664898484834,Entire home/apt,115,3,26,2017-04-23,2.21,2,109
9095321,Two private rooms in Lincoln Square,47420896,Sarah,,Lincoln Square,41.97319591011321,-87.69682270339538,Private room,75,1,18,2017-04-15,1.06,2,310
16147465,Private Bathroom - Beautiful Lincoln Square House,12501826,Michal,,Lincoln Square,41.97046649069343,-87.68396978729682,Private room,50,2,9,2017-03-19,1.70,1,137
11420757,Chicago Oasis,43303710,Marco,,Lincoln Square,41.968182805887615,-87.68101699569263,Entire home/apt,100,2,3,2016-04-17,0.21,2,0
9492864,Private Room in Albany Park,136971,Mike,,Lincoln Square,41.97050201425476,-87.69945764214911,Private room,40,1,0,,,1,363
11442504,Chicago Oasis - Beautiful Private Room and Bath,43303710,Marco,,Lincoln Square,41.97044743726844,-87.68253817688458,Private room,65,1,40,2017-04-30,2.85,2,338
17176863,Charming rustic Railcar apt,49509212,Beckie,,Lincoln Square,41.97124815349559,-87.68151146021744,Private room,55,1,1,2017-04-08,0.91,1,253
10344726,"Charming, Spacious Studio- off Brown Line",45766549,Sophie,,Lincoln Square,41.97367680662541,-87.67805006308636,Entire home/apt,83,1,36,2017-04-25,2.28,1,73
956612,Sunny apartment  in Lincoln Square,229947,Nancy,,Lincoln Square,41.96748420187544,-87.69774798653113,Private room,85,1,37,2016-12-17,0.77,1,282
6672989,Charming Ravenswood Condo near the Brown Line,34925165,Emily,,Lincoln Square,41.96850404899667,-87.68137785893883,Entire home/apt,200,2,23,2017-04-30,1.09,1,49
2292057,Attractive apt in Lincoln Sq home,2387567,Anne Rob,,Lincoln Square,41.97090539738706,-87.69910104608692,Entire home/apt,130,1,109,2017-05-07,2.90,1,5
3053490,Spacious sunlit vintage 2 bed flat,14656433,George,,Lincoln Square,41.97492741202004,-87.67930656731326,Entire home/apt,135,5,0,,,1,163
14571515,Entire Home in Lincoln Square,22060289,Robin And Mike,,Lincoln Square,41.97015719395374,-87.68490944090885,Entire home/apt,125,1,12,2017-04-09,1.74,1,216
8426959,Grand Duplex for 8 in Chicago!,44378939,Diane,,Lincoln Square,41.98220608328463,-87.69591547656394,Entire home/apt,165,2,54,2017-04-30,3.06,2,275
9461345,New Townhouse in Lincoln Square,23856530,Eduardo,,Lincoln Square,41.97368960830408,-87.69321130233328,Private room,70,2,19,2017-05-08,1.65,1,350
13463943,Elegant vintage room in Ravenswood,23503681,Francesca,,Lincoln Square,41.96501576756402,-87.68109077887335,Private room,73,1,27,2017-04-22,2.49,2,64
14668906,Lovely 2BR / 1 BA Condo in Chicago,13222552,Calli,,Lincoln Square,41.97633854990096,-87.6867340139167,Entire home/apt,125,2,35,2017-04-30,4.22,2,346
2479175,Cozy Garden-Subterranean Apartment,12681444,Jenny,,Lincoln Square,41.96292842894037,-87.69358111834713,Entire home/apt,80,2,91,2017-05-01,2.44,1,64
7513667,Chez Peg,12924696,Peggy,,Lincoln Square,41.9745724897445,-87.67588875302587,Private room,55,2,23,2017-05-01,1.95,1,68
507517,Private Lincoln Square Garden Apt,2501182,Nate,,Lincoln Square,41.967136853835534,-87.69610721690674,Entire home/apt,100,2,180,2017-04-10,3.05,1,300
16749331,Cozy Unique Large Private Room Lincoln Square,26790353,Jill K,,Lincoln Square,41.96809711702125,-87.69026330294484,Private room,50,2,0,,,1,132
13028662,"Chicago Sunroom, next 2 trains",16996047,Lilith,,Lincoln Square,41.96267487819118,-87.68217777545239,Private room,45,1,21,2017-03-26,1.86,1,302
